timestamp,min_lum,mean_lum,max_lum,diff_lum,amp_rms,amp_peak,ebu_r128_M
0.0,0,37.3914,65,0.0,-104.100783,-113.930187,-120.691
0.033333,0,48.8811,80,11.5989,-32.21689285647324,-41.37241430514671,-120.691
0.066667,0,50.8259,81,2.15704,-30.897558156799324,-38.85149718351849,-120.691
0.1,0,60.4971,99,9.82354,-29.70084647032905,-37.97286101148402,-120.691
0.133333,0,66.5724,112,6.16039,-31.12591876327755,-38.10227983935687,-120.691
0.166667,0,66.5739,112,0.00722439,-30.725375021561828,-38.3496521374332,-120.691
0.2,0,73.2279,120,6.82195,-33.02607249313271,-42.69896454150846,-120.691
0.233333,0,79.0302,127,5.94493,-36.60839444379863,-43.573445393362704,-94.46492893
0.266667,0,83.778,162,4.92689,-36.03761937777153,-44.6046404179909,-68.23807107000002
0.3,0,88.4197,151,4.82035,-35.354520170627666,-43.78780967022922,-42.012
0.333333,0,88.4502,151,0.0964768,-36.27383690376412,-44.81566224905077,-40.15768521
0.366667,0,92.2092,170,3.8832,-37.451577288379504,-45.21690887854498,-38.30331479
0.4,0,95.1786,161,3.21742,-32.35398555735246,-40.365630265410395,-36.449
0.433333,0,99.2353,161,4.39049,-23.81879452228941,-31.612096762902542,-35.41467701
0.466667,0,100.805,161,2.06614,-21.899285852013314,-28.71343159588431,-34.380322989999996
0.5,0,103.798,166,3.22449,-20.855314715370554,-26.51217176613697,-33.346
0.533333,0,103.814,166,0.0410699,-22.833014,-29.546367,-33.034003119999994
0.566667,0,106.355,172,2.81745,-23.619071783574746,-30.08312257966531,-32.72199688
0.6,0,107.585,173,1.64268,-25.31020691529952,-33.0863400648261,-32.41
0.633333,0,110.117,167,3.05714,-24.8022435887592,-31.81417345506961,-32.26033483
0.666667,0,110.854,168,1.21627,-24.602417219649386,-32.11445714024562,-32.11066517
0.7,0,110.865,167,0.0339138,-25.232709074719917,-32.02995946510102,-31.961
0.733333,0,110.992,172,0.445479,-27.471516775475767,-34.911922570450926,-32.37166256
0.766667,0,111.626,172,1.25648,-30.178857885529457,-36.707008500867204,-32.78233744
0.8,0,112.138,172,0.620099,-29.866939500000008,-39.339211000000006,-33.193
0.833333,0,112.311,172,0.330757,-30.138776301270333,-38.96972748994516,-34.248989439999995
0.866667,0,112.37,179,0.149612,-32.96400903234274,-41.66016410724664,-35.30501055999999
0.9,0,112.464,178,0.384702,-33.51528431889561,-40.6288641151268,-36.361
0.933333,0,112.389,177,0.431196,-32.565896806974784,-40.76911332286491,-37.11265915
0.966667,0,112.452,177,0.691391,-31.595180277035585,-40.65879271241738,-37.86434085
1.0,0,112.241,172,1.21416,-31.859656000187496,-39.30422008104434,-38.616
1.033333,0,112.243,172,0.0113336,-30.896424509070457,-39.56899047377303,-39.25199364
1.066667,0,112.229,172,0.824616,-30.011222,-38.838074,-39.88800636
