x_svgunits,dmochowski_timeseries,poulsen_timeseries,lab_results
151.3230,0.050361,0.060782,0.009800
386.0614,0.039519,0.013814,0.017302
620.7997,0.037647,0.025103,0.006400
855.5381,0.012819,0.013587,0.033814
1090.2764,0.009701,0.033848,0.024981
1325.0148,0.020635,0.039078,0.013278
1559.7532,0.023685,0.021578,-0.016580
1794.4915,0.026067,0.016160,-0.006901
2029.2299,0.029789,0.016140,-0.011406
2263.9683,0.034498,0.005270,0.020807
2498.7066,0.033638,0.004699,0.024277
2733.4450,0.068520,0.042499,0.038121
2968.1833,0.069508,0.061257,0.044549
3202.9217,0.068222,0.060125,0.069323
3437.6601,0.071018,0.074695,0.069892
3672.3984,0.064400,0.070749,0.083394
3907.1368,0.029200,0.042075,0.107802
4141.8752,0.023489,0.017802,0.117346
4376.6135,0.034636,0.020834,0.147975
4611.3519,0.071900,0.054528,0.128641
4846.0902,0.110587,0.101586,0.160068
5080.8286,0.115792,0.119698,0.138528
5315.5670,0.113285,0.136702,0.146317
5550.3053,0.115311,0.173892,0.104337
5785.0437,0.108605,0.167079,0.093633
6019.7821,0.094643,0.148222,0.067925
6254.5204,0.089957,0.143041,0.069431
6489.2588,0.090378,0.133022,0.039184
6723.9971,0.088527,0.105993,0.054554
6958.7355,0.062488,0.085367,0.067101
7193.4739,0.040081,0.061580,0.013171
7428.2122,0.074515,0.060448,0.043826
7662.9506,0.089453,0.099039,0.077646
7897.6889,0.077803,0.081999,0.067935
8132.4273,0.084791,0.054766,0.106602
8367.1657,0.131328,0.052698,0.117237
8601.9040,0.112027,0.056088,0.093366
8836.6424,0.142931,0.079304,0.058274
9071.3808,0.150827,0.094933,0.053346
9306.1191,0.149336,0.117499,0.027230
9540.8575,0.110069,0.120425,0.025102
9775.5958,0.117924,0.107734,0.051955
10010.3342,0.086245,0.036414,0.038292
10245.0726,0.072377,0.102200,0.039092
10479.8109,0.066468,0.113875,0.038669
10714.5493,0.059623,0.120749,0.055980
10949.2877,0.039742,0.138256,0.062281
11184.0260,0.047480,0.125264,0.135064
11418.7644,0.060085,0.134528,0.198406
11653.5027,0.074637,0.144957,0.193082
11888.2411,0.102758,0.182082,0.191424
12122.9795,0.144206,0.195500,0.189794
12357.7178,0.127622,0.166244,0.156428
12592.4562,0.104057,0.108888,0.112084
