stimulus,component,feature,r,p_exact,p_fdr,significant
bangbangyouaredead,1,min_lum,0.05964555239813032,0.10619469026548672,0.3829444891391794,False
bangbangyouaredead,1,mean_lum,-0.030744589035281156,0.672566371681416,0.7061946902654868,False
bangbangyouaredead,1,max_lum,-0.051406725629511596,0.34593724859211583,0.5089501206757844,False
bangbangyouaredead,1,diff_lum,0.03491350886512493,0.3266291230893001,0.5089501206757844,False
bangbangyouaredead,1,amp_rms,-0.04812416557316773,0.3588093322606597,0.5089501206757844,False
bangbangyouaredead,1,amp_peak,-0.045684698099441305,0.37731295253419145,0.5089501206757844,False
bangbangyouaredead,1,ebu_r128_M,-0.03342107728460637,0.5422365245374094,0.6313248930854892,False
bangbangyouaredead,2,min_lum,0.06159537277656799,0.10941271118262269,0.3829444891391794,False
bangbangyouaredead,2,mean_lum,-0.06255544335731142,0.28962188254223653,0.5089501206757844,False
bangbangyouaredead,2,max_lum,-0.05049222439984339,0.38777152051488334,0.5089501206757844,False
bangbangyouaredead,2,diff_lum,0.1216603833369049,0.0008045052292839903,0.016894609814963796,True
bangbangyouaredead,2,amp_rms,-0.03196231368068829,0.5510860820595334,0.6313248930854892,False
bangbangyouaredead,2,amp_peak,-0.029696901217254514,0.5711987127916331,0.6313248930854892,False
bangbangyouaredead,2,ebu_r128_M,-0.01855594875288877,0.7369267900241352,0.7369267900241352,False
bangbangyouaredead,3,min_lum,0.039010919081066804,0.2719227674979887,0.5089501206757844,False
bangbangyouaredead,3,mean_lum,0.06666267612550297,0.26790024135156876,0.5089501206757844,False
bangbangyouaredead,3,max_lum,-0.06485062579084021,0.15526950925181013,0.4658085277554304,False
bangbangyouaredead,3,diff_lum,-0.06500400837837274,0.04505229283990346,0.33789219629927597,False
bangbangyouaredead,3,amp_rms,0.0893429620928876,0.050683829444891394,0.33789219629927597,False
bangbangyouaredead,3,amp_peak,0.08472540133117125,0.06436041834271923,0.33789219629927597,False
bangbangyouaredead,3,ebu_r128_M,0.05858797664520611,0.2236524537409493,0.5089501206757844,False
